DN;ANO;COMPRIMENTO;QTDE.
2º;2012;14 a 16 metros;4
3º;2012;14 a 16 metros;8
4º;2012;14 a 16 metros;2
5º;2012;14 a 16 metros;18
6º;2012;14 a 16 metros;0
7º;2012;14 a 16 metros;1
8º;2012;14 a 16 metros;34
9º;2012;14 a 16 metros;11
1º;2013;14 a 16 metros;27
2º;2013;14 a 16 metros;6
3º;2013;14 a 16 metros;7
4º;2013;14 a 16 metros;3
5º;2013;14 a 16 metros;18
6º;2013;14 a 16 metros;0
7º;2013;14 a 16 metros;4
8º;2013;14 a 16 metros;32
9º;2013;14 a 16 metros;11
1º;2014;14 a 16 metros;14
2º;2014;14 a 16 metros;0
3º;2014;14 a 16 metros;2
4º;2014;14 a 16 metros;2
5º;2014;14 a 16 metros;21
6º;2014;14 a 16 metros;1
7º;2014;14 a 16 metros;2
8º;2014;14 a 16 metros;15
9º;2014;14 a 16 metros;4
1º;2015;14 a 16 metros;16
2º;2015;14 a 16 metros;8
3º;2015;14 a 16 metros;5
4º;2015;14 a 16 metros;5
5º;2015;14 a 16 metros;20
6º;2015;14 a 16 metros;0
7º;2015;14 a 16 metros;3
8º;2015;14 a 16 metros;13
9º;2015;14 a 16 metros;9
1º;2016;14 a 16 metros;19
2º;2016;14 a 16 metros;0
3º;2016;14 a 16 metros;4
4º;2016;14 a 16 metros;7
5º;2016;14 a 16 metros;15
6º;2016;14 a 16 metros;1
7º;2016;14 a 16 metros;1
8º;2016;14 a 16 metros;18
9º;2016;14 a 16 metros;12
1º;2017;14 a 16 metros;4
2º;2017;14 a 16 metros;5
3º;2017;14 a 16 metros;1
4º;2017;14 a 16 metros;2
5º;2017;14 a 16 metros;8
6º;2017;14 a 16 metros;0
7º;2017;14 a 16 metros;3
8º;2017;14 a 16 metros;11
9º;2017;14 a 16 metros;5
1º;2012;16 a 18 metros;15
2º;2012;16 a 18 metros;2
3º;2012;16 a 18 metros;7
4º;2012;16 a 18 metros;2
5º;2012;16 a 18 metros;2
6º;2012;16 a 18 metros;0
7º;2012;16 a 18 metros;2
8º;2012;16 a 18 metros;31
9º;2012;16 a 18 metros;10
1º;2013;16 a 18 metros;8
2º;2013;16 a 18 metros;4
3º;2013;16 a 18 metros;3
4º;2013;16 a 18 metros;1
5º;2013;16 a 18 metros;0
6º;2013;16 a 18 metros;1
7º;2013;16 a 18 metros;3
8º;2013;16 a 18 metros;22
9º;2013;16 a 18 metros;11
1º;2014;16 a 18 metros;17
2º;2014;16 a 18 metros;4
3º;2014;16 a 18 metros;3
4º;2014;16 a 18 metros;3
5º;2014;16 a 18 metros;5
6º;2014;16 a 18 metros;0
7º;2014;16 a 18 metros;2
8º;2014;16 a 18 metros;11
9º;2014;16 a 18 metros;5
1º;2015;16 a 18 metros;11
2º;2015;16 a 18 metros;1
3º;2015;16 a 18 metros;2
4º;2015;16 a 18 metros;1
5º;2015;16 a 18 metros;4
6º;2015;16 a 18 metros;0
7º;2015;16 a 18 metros;4
8º;2015;16 a 18 metros;3
9º;2015;16 a 18 metros;2
1º;2016;16 a 18 metros;6
2º;2016;16 a 18 metros;1
3º;2016;16 a 18 metros;2
4º;2016;16 a 18 metros;1
5º;2016;16 a 18 metros;3
6º;2016;16 a 18 metros;0
7º;2016;16 a 18 metros;1
8º;2016;16 a 18 metros;4
9º;2016;16 a 18 metros;13
1º;2017;16 a 18 metros;1
2º;2017;16 a 18 metros;2
3º;2017;16 a 18 metros;1
4º;2017;16 a 18 metros;1
5º;2017;16 a 18 metros;7
6º;2017;16 a 18 metros;0
7º;2017;16 a 18 metros;1
8º;2017;16 a 18 metros;5
9º;2017;16 a 18 metros;2
1º;2012;18 a 20 metros;12
2º;2012;18 a 20 metros;0
3º;2012;18 a 20 metros;5
4º;2012;18 a 20 metros;0
5º;2012;18 a 20 metros;13
6º;2012;18 a 20 metros;0
7º;2012;18 a 20 metros;0
8º;2012;18 a 20 metros;20
9º;2012;18 a 20 metros;10
1º;2013;18 a 20 metros;11
2º;2013;18 a 20 metros;4
3º;2013;18 a 20 metros;2
4º;2013;18 a 20 metros;3
5º;2013;18 a 20 metros;15
6º;2013;18 a 20 metros;1
7º;2013;18 a 20 metros;0
8º;2013;18 a 20 metros;23
9º;2013;18 a 20 metros;6
1º;2014;18 a 20 metros;11
2º;2014;18 a 20 metros;3
3º;2014;18 a 20 metros;1
4º;2014;18 a 20 metros;1
5º;2014;18 a 20 metros;10
6º;2014;18 a 20 metros;1
7º;2014;18 a 20 metros;2
8º;2014;18 a 20 metros;13
9º;2014;18 a 20 metros;4
1º;2015;18 a 20 metros;8
2º;2015;18 a 20 metros;2
3º;2015;18 a 20 metros;0
4º;2015;18 a 20 metros;3
5º;2015;18 a 20 metros;14
6º;2015;18 a 20 metros;0
7º;2015;18 a 20 metros;0
8º;2015;18 a 20 metros;13
9º;2015;18 a 20 metros;3
1º;2016;18 a 20 metros;8
2º;2016;18 a 20 metros;1
3º;2016;18 a 20 metros;0
4º;2016;18 a 20 metros;4
5º;2016;18 a 20 metros;11
6º;2016;18 a 20 metros;0
7º;2016;18 a 20 metros;1
8º;2016;18 a 20 metros;9
9º;2016;18 a 20 metros;10
1º;2017;18 a 20 metros;3
2º;2017;18 a 20 metros;0
3º;2017;18 a 20 metros;1
4º;2017;18 a 20 metros;2
5º;2017;18 a 20 metros;2
6º;2017;18 a 20 metros;0
7º;2017;18 a 20 metros;0
8º;2017;18 a 20 metros;9
9º;2017;18 a 20 metros;4
1º;2012;20 a 22 metros;4
2º;2012;20 a 22 metros;2
3º;2012;20 a 22 metros;1
4º;2012;20 a 22 metros;0
5º;2012;20 a 22 metros;2
6º;2012;20 a 22 metros;2
7º;2012;20 a 22 metros;1
8º;2012;20 a 22 metros;8
9º;2012;20 a 22 metros;3
1º;2013;20 a 22 metros;0
2º;2013;20 a 22 metros;1
3º;2013;20 a 22 metros;1
4º;2013;20 a 22 metros;1
5º;2013;20 a 22 metros;2
6º;2013;20 a 22 metros;0
7º;2013;20 a 22 metros;0
8º;2013;20 a 22 metros;6
9º;2013;20 a 22 metros;6
1º;2014;20 a 22 metros;4
2º;2014;20 a 22 metros;0
3º;2014;20 a 22 metros;0
4º;2014;20 a 22 metros;0
5º;2014;20 a 22 metros;3
6º;2014;20 a 22 metros;0
7º;2014;20 a 22 metros;0
8º;2014;20 a 22 metros;3
9º;2014;20 a 22 metros;3
1º;2015;20 a 22 metros;6
2º;2015;20 a 22 metros;2
3º;2015;20 a 22 metros;0
4º;2015;20 a 22 metros;2
5º;2015;20 a 22 metros;1
6º;2015;20 a 22 metros;1
7º;2015;20 a 22 metros;0
8º;2015;20 a 22 metros;4
9º;2015;20 a 22 metros;4
1º;2016;20 a 22 metros;3
2º;2016;20 a 22 metros;0
3º;2016;20 a 22 metros;0
4º;2016;20 a 22 metros;2
5º;2016;20 a 22 metros;2
6º;2016;20 a 22 metros;1
7º;2016;20 a 22 metros;0
8º;2016;20 a 22 metros;1
9º;2016;20 a 22 metros;9
1º;2017;20 a 22 metros;1
2º;2017;20 a 22 metros;0
3º;2017;20 a 22 metros;0
4º;2017;20 a 22 metros;2
5º;2017;20 a 22 metros;1
6º;2017;20 a 22 metros;0
7º;2017;20 a 22 metros;0
8º;2017;20 a 22 metros;1
9º;2017;20 a 22 metros;5
1º;2012;22 a 24 metros;7
2º;2012;22 a 24 metros;1
3º;2012;22 a 24 metros;0
4º;2012;22 a 24 metros;2
5º;2012;22 a 24 metros;0
6º;2012;22 a 24 metros;0
7º;2012;22 a 24 metros;1
8º;2012;22 a 24 metros;10
9º;2012;22 a 24 metros;2
1º;2013;22 a 24 metros;7
2º;2013;22 a 24 metros;2
3º;2013;22 a 24 metros;0
4º;2013;22 a 24 metros;0
5º;2013;22 a 24 metros;0
6º;2013;22 a 24 metros;0
7º;2013;22 a 24 metros;0
8º;2013;22 a 24 metros;9
9º;2013;22 a 24 metros;1
1º;2014;22 a 24 metros;8
2º;2014;22 a 24 metros;5
3º;2014;22 a 24 metros;0
4º;2014;22 a 24 metros;0
5º;2014;22 a 24 metros;2
6º;2014;22 a 24 metros;0
7º;2014;22 a 24 metros;0
8º;2014;22 a 24 metros;9
9º;2014;22 a 24 metros;2
1º;2015;22 a 24 metros;5
2º;2015;22 a 24 metros;1
3º;2015;22 a 24 metros;0
4º;2015;22 a 24 metros;1
5º;2015;22 a 24 metros;3
6º;2015;22 a 24 metros;0
7º;2015;22 a 24 metros;0
8º;2015;22 a 24 metros;1
9º;2015;22 a 24 metros;5
1º;2016;22 a 24 metros;2
2º;2016;22 a 24 metros;1
3º;2016;22 a 24 metros;0
4º;2016;22 a 24 metros;1
5º;2016;22 a 24 metros;2
6º;2016;22 a 24 metros;0
7º;2016;22 a 24 metros;0
8º;2016;22 a 24 metros;2
9º;2016;22 a 24 metros;6
1º;2017;22 a 24 metros;0
2º;2017;22 a 24 metros;0
3º;2017;22 a 24 metros;0
4º;2017;22 a 24 metros;0
5º;2017;22 a 24 metros;0
6º;2017;22 a 24 metros;0
7º;2017;22 a 24 metros;0
8º;2017;22 a 24 metros;7
9º;2017;22 a 24 metros;1
1º;2012;24 a 26 metros;0
2º;2012;24 a 26 metros;0
3º;2012;24 a 26 metros;0
4º;2012;24 a 26 metros;0
5º;2012;24 a 26 metros;1
6º;2012;24 a 26 metros;0
7º;2012;24 a 26 metros;0
8º;2012;24 a 26 metros;0
9º;2012;24 a 26 metros;2
1º;2013;24 a 26 metros;0
2º;2013;24 a 26 metros;0
3º;2013;24 a 26 metros;0
4º;2013;24 a 26 metros;0
5º;2013;24 a 26 metros;1
6º;2013;24 a 26 metros;0
7º;2013;24 a 26 metros;0
8º;2013;24 a 26 metros;0
9º;2013;24 a 26 metros;0
1º;2014;24 a 26 metros;0
2º;2014;24 a 26 metros;0
3º;2014;24 a 26 metros;0
4º;2014;24 a 26 metros;0
5º;2014;24 a 26 metros;1
6º;2014;24 a 26 metros;0
7º;2014;24 a 26 metros;0
8º;2014;24 a 26 metros;2
9º;2014;24 a 26 metros;1
1º;2015;24 a 26 metros;2
2º;2015;24 a 26 metros;0
3º;2015;24 a 26 metros;0
4º;2015;24 a 26 metros;1
5º;2015;24 a 26 metros;0
6º;2015;24 a 26 metros;0
7º;2015;24 a 26 metros;0
8º;2015;24 a 26 metros;0
9º;2015;24 a 26 metros;1
1º;2016;24 a 26 metros;1
2º;2016;24 a 26 metros;0
3º;2016;24 a 26 metros;0
4º;2016;24 a 26 metros;0
5º;2016;24 a 26 metros;0
6º;2016;24 a 26 metros;0
7º;2016;24 a 26 metros;0
8º;2016;24 a 26 metros;1
9º;2016;24 a 26 metros;0
1º;2017;24 a 26 metros;0
2º;2017;24 a 26 metros;0
3º;2017;24 a 26 metros;0
4º;2017;24 a 26 metros;0
5º;2017;24 a 26 metros;0
6º;2017;24 a 26 metros;0
7º;2017;24 a 26 metros;0
8º;2017;24 a 26 metros;1
9º;2017;24 a 26 metros;1
1º;2012;Acima 26 metros;2
2º;2012;Acima 26 metros;1
3º;2012;Acima 26 metros;0
4º;2012;Acima 26 metros;0
5º;2012;Acima 26 metros;1
6º;2012;Acima 26 metros;0
7º;2012;Acima 26 metros;0
8º;2012;Acima 26 metros;2
9º;2012;Acima 26 metros;10
1º;2013;Acima 26 metros;1
2º;2013;Acima 26 metros;0
3º;2013;Acima 26 metros;0
