DN	UF	COD_EMB	SIGLA OM	QTDE	
1º	ES	34	CPES	13	
1º	ES	105	CPES	8	
1º	ES	103	CPES	1	
1º	ES	35	CPES	2931	
1º	ES	47	CPES	1	
1º	ES	108	CPES	3280	
1º	ES	37	CPES	6	
1º	ES	61	CPES	1	
1º	ES	99	CPES	1778	
1º	ES	13	CPES	8	
1º	ES	20	CPES	1	
1º	ES	38	CPES	484	
1º	ES	39	CPES	3	
1º	ES	18	CPES	1	
1º	ES	41	CPES	24	
1º	ES	9	CPES	1	
1º	ES	42	CPES	51	
1º	ES	45	CPES	2	
1º	ES	2	CPES	1	
1º	ES	46	CPES	33	
1º	ES	43	CPES	162	
4º	MA	23	CPMA	1	
4º	MA	107	CPMA	1	
4º	MA	48	CPMA	34	
4º	MA	25	CPMA	170	
4º	MA	53	CPMA	2	
4º	MA	26	CPMA	252	
4º	MA	51	CPMA	45	
4º	MA	10	CPMA	93	
4º	MA	28	CPMA	15	
4º	MA	31	CPMA	7	
4º	MA	57	CPMA	13	
4º	MA	32	CPMA	3	
4º	MA	33	CPMA	28	
4º	MA	7	CPMA	5	
4º	MA	44	CPMA	1	
4º	MA	59	CPMA	1	
4º	MA	34	CPMA	3	
4º	MA	105	CPMA	10	
4º	MA	103	CPMA	1	
4º	MA	35	CPMA	1397	
4º	MA	108	CPMA	689	
4º	MA	37	CPMA	78	
4º	MA	99	CPMA	506	
4º	MA	13	CPMA	209	
4º	MA	63	CPMA	85	
4º	MA	20	CPMA	2	
4º	MA	38	CPMA	2460	
4º	MA	39	CPMA	5	
4º	MA	4	CPMA	26	
4º	MA	18	CPMA	2	
4º	MA	6	CPMA	1	
4º	MA	41	CPMA	22	
4º	MA	12	CPMA	8	
4º	MA	22	CPMA	1	
4º	MA	45	CPMA	3	
4º	MA	2	CPMA	4	
4º	MA	43	CPMA	74	
7º	PR	23	CFAT	1	
7º	PR	52	CFAT	1	
7º	PR	48	CFAT	36	
7º	PR	25	CFAT	12	
7º	PR	53	CFAT	2	
7º	PR	26	CFAT	7430	
7º	PR	55	CFAT	3	
7º	PR	54	CFAT	2	
7º	PR	51	CFAT	2974	
7º	PR	28	CFAT	45	
7º	PR	30	CFAT	1	
7º	PR	31	CFAT	36	
7º	PR	57	CFAT	4	
7º	PR	32	CFAT	13	
7º	PR	33	CFAT	19	
7º	PR	44	CFAT	2	
7º	PR	59	CFAT	2	
7º	PR	34	CFAT	5	
7º	PR	105	CFAT	11	
7º	PR	103	CFAT	3	
7º	PR	35	CFAT	9826	
7º	PR	60	CFAT	1	
7º	PR	108	CFAT	2639	
7º	PR	37	CFAT	3	
7º	PR	99	CFAT	4309	
7º	PR	13	CFAT	21	
7º	PR	63	CFAT	2	
7º	PR	38	CFAT	143	
7º	PR	4	CFAT	1	
7º	PR	111	CFAT	1	
7º	PR	41	CFAT	16	
7º	PR	12	CFAT	3	
7º	PR	2	CFAT	1	
7º	PR	46	CFAT	1	
7º	PR	43	CFAT	602	
4º	PI	48	CPPI	33	
4º	PI	26	CPPI	93	
4º	PI	51	CPPI	294	
4º	PI	10	CPPI	3	
4º	PI	28	CPPI	6	
4º	PI	31	CPPI	17	
4º	PI	57	CPPI	3	
4º	PI	33	CPPI	16	
4º	PI	59	CPPI	2	
4º	PI	34	CPPI	33	
4º	PI	105	CPPI	21	
4º	PI	35	CPPI	761	
4º	PI	108	CPPI	605	
4º	PI	37	CPPI	6	
4º	PI	99	CPPI	844	
4º	PI	13	CPPI	2	
4º	PI	63	CPPI	11	
4º	PI	38	CPPI	344	
4º	PI	41	CPPI	7	
4º	PI	43	CPPI	2	
1º	RJ	23	CPRJ	3	
1º	RJ	109	CPRJ	1	
1º	RJ	107	CPRJ	1	
1º	RJ	52	CPRJ	12	
1º	RJ	102	CPRJ	14	
1º	RJ	48	CPRJ	324	
1º	RJ	25	CPRJ	440	
1º	RJ	53	CPRJ	21	
1º	RJ	26	CPRJ	5946	
1º	RJ	27	CPRJ	29	
1º	RJ	55	CPRJ	9	
1º	RJ	54	CPRJ	9	
1º	RJ	51	CPRJ	116	
1º	RJ	10	CPRJ	34	
1º	RJ	28	CPRJ	317	
1º	RJ	30	CPRJ	40	
1º	RJ	31	CPRJ	116	
1º	RJ	57	CPRJ	5	
1º	RJ	32	CPRJ	52	
1º	RJ	104	CPRJ	1	
1º	RJ	24	CPRJ	19	
1º	RJ	58	CPRJ	3	
1º	RJ	33	CPRJ	632	
1º	RJ	7	CPRJ	24	
1º	RJ	44	CPRJ	9	
1º	RJ	59	CPRJ	106	
1º	RJ	34	CPRJ	69	
1º	RJ	105	CPRJ	22	
1º	RJ	103	CPRJ	12	
1º	RJ	35	CPRJ	15450	
1º	RJ	60	CPRJ	5	
1º	RJ	47	CPRJ	73	
1º	RJ	100	CPRJ	1	
1º	RJ	108	CPRJ	4132	
1º	RJ	37	CPRJ	97	
1º	RJ	61	CPRJ	8	
1º	RJ	99	CPRJ	11616	
1º	RJ	13	CPRJ	39	
1º	RJ	63	CPRJ	3	
1º	RJ	38	CPRJ	314	
1º	RJ	39	CPRJ	45	
1º	RJ	4	CPRJ	77	
1º	RJ	111	CPRJ	2	
1º	RJ	18	CPRJ	4	
1º	RJ	1	CPRJ	9	
1º	RJ	17	CPRJ	26	
1º	RJ	8	CPRJ	9	
1º	RJ	6	CPRJ	5	
1º	RJ	110	CPRJ	1	
1º	RJ	41	CPRJ	448	
1º	RJ	9	CPRJ	1	
1º	RJ	12	CPRJ	2	
1º	RJ	42	CPRJ	52	
1º	RJ	22	CPRJ	19	
1º	RJ	45	CPRJ	355	
1º	RJ	2	CPRJ	1	
1º	RJ	46	CPRJ	620	
1º	RJ	15	CPRJ	3	
1º	RJ	106	CPRJ	14	
1º	RJ	43	CPRJ	4779	
3º	RN	48	CPRN	101	
3º	RN	53	CPRN	1	
3º	RN	26	CPRN	1021	
3º	RN	51	CPRN	288	
3º	RN	10	CPRN	11	
3º	RN	28	CPRN	4	
3º	RN	31	CPRN	5	
3º	RN	32	CPRN	5	
3º	RN	33	CPRN	9	
3º	RN	7	CPRN	1	
3º	RN	44	CPRN	1	
3º	RN	59	CPRN	5	
3º	RN	34	CPRN	1192	
3º	RN	105	CPRN	16	
3º	RN	35	CPRN	825	
3º	RN	47	CPRN	4	
3º	RN	108	CPRN	712	
3º	RN	37	CPRN	62	
3º	RN	61	CPRN	1	
3º	RN	99	CPRN	686	
3º	RN	13	CPRN	15	
3º	RN	63	CPRN	1	
3º	RN	38	CPRN	217	
3º	RN	39	CPRN	1	
3º	RN	41	CPRN	5	
3º	RN	42	CPRN	2	
3º	RN	45	CPRN	1	
3º	RN	46	CPRN	1	
3º	RN	43	CPRN	58	
5º	RS	52	CPRS	2	
5º	RS	48	CPRS	19	
5º	RS	25	CPRS	6	
5º	RS	53	CPRS	2	
5º	RS	26	CPRS	5899	
5º	RS	27	CPRS	2	
5º	RS	55	CPRS	2	
5º	RS	54	CPRS	263	
5º	RS	51	CPRS	269	
5º	RS	10	CPRS	4	
5º	RS	28	CPRS	4	
5º	RS	31	CPRS	70	
5º	RS	57	CPRS	2	
5º	RS	32	CPRS	11	
5º	RS	24	CPRS	1	
5º	RS	33	CPRS	2	
5º	RS	44	CPRS	1	
5º	RS	59	CPRS	5	
5º	RS	105	CPRS	2	
5º	RS	35	CPRS	1076	
5º	RS	60	CPRS	2	
5º	RS	108	CPRS	491	
5º	RS	37	CPRS	3	
5º	RS	99	CPRS	1899	
5º	RS	13	CPRS	2	
5º	RS	38	CPRS	179	
5º	RS	39	CPRS	2	
5º	RS	4	CPRS	4	
5º	RS	111	CPRS	1	
5º	RS	17	CPRS	2	
5º	RS	110	CPRS	1	
5º	RS	41	CPRS	14	
5º	RS	12	CPRS	1	
5º	RS	46	CPRS	2	
5º	RS	43	CPRS	419	
9º	AM	107	CFAOC	1	
9º	AM	48	CFAOC	1704	
9º	AM	25	CFAOC	220	
9º	AM	53	CFAOC	2	
9º	AM	26	CFAOC	112	
9º	AM	27	CFAOC	5	
9º	AM	51	CFAOC	92	
9º	AM	10	CFAOC	1528	
9º	AM	28	CFAOC	9	
9º	AM	30	CFAOC	8	
9º	AM	31	CFAOC	17	
9º	AM	57	CFAOC	267	
9º	AM	58	CFAOC	1	
9º	AM	33	CFAOC	281	
9º	AM	7	CFAOC	68	
9º	AM	59	CFAOC	43	
9º	AM	34	CFAOC	1	
9º	AM	105	CFAOC	4	
9º	AM	103	CFAOC	2	
9º	AM	35	CFAOC	6135	
9º	AM	60	CFAOC	1	
9º	AM	108	CFAOC	1287	
9º	AM	37	CFAOC	39	
9º	AM	99	CFAOC	144	
9º	AM	13	CFAOC	587	
9º	AM	63	CFAOC	569	
9º	AM	20	CFAOC	1	
9º	AM	38	CFAOC	1189	
9º	AM	39	CFAOC	4	
9º	AM	4	CFAOC	18	
9º	AM	111	CFAOC	1	
9º	AM	8	CFAOC	8	
9º	AM	41	CFAOC	823	
9º	AM	9	CFAOC	2	
9º	AM	12	CFAOC	24	
9º	AM	22	CFAOC	1	
9º	AM	2	CFAOC	59	
9º	AM	15	CFAOC	2	
9º	AM	106	CFAOC	1	
9º	AM	43	CFAOC	5	
7º	DF	48	CPFBRA	73	
7º	DF	25	CPFBRA	25	
7º	DF	53	CPFBRA	1	
7º	DF	26	CPFBRA	4754	
7º	DF	27	CPFBRA	3	
7º	DF	55	CPFBRA	3	
7º	DF	51	CPFBRA	1039	
7º	DF	10	CPFBRA	4	
7º	DF	28	CPFBRA	13432	
7º	DF	31	CPFBRA	211	
7º	DF	57	CPFBRA	3	
7º	DF	32	CPFBRA	3	
7º	DF	33	CPFBRA	136	
7º	DF	50	CPFBRA	1	
7º	DF	44	CPFBRA	1	
7º	DF	34	CPFBRA	91	
7º	DF	105	CPFBRA	46	
7º	DF	103	CPFBRA	5	
7º	DF	35	CPFBRA	7863	
7º	DF	60	CPFBRA	1	
7º	DF	47	CPFBRA	2	
7º	DF	108	CPFBRA	6049	
7º	DF	37	CPFBRA	79	
7º	DF	99	CPFBRA	16701	
7º	DF	13	CPFBRA	11	
7º	DF	1	CPFBRA	1	
7º	DF	41	CPFBRA	26	
7º	DF	42	CPFBRA	4	
7º	DF	46	CPFBRA	3	
7º	DF	43	CPFBRA	990	
5º	RS	109	CFPA	1	
5º	RS	102	CFPA	1	
5º	RS	48	CFPA	99	
5º	RS	25	CFPA	35	
5º	RS	53	CFPA	5	
5º	RS	26	CFPA	9587	
5º	RS	27	CFPA	3	
5º	RS	55	CFPA	4	
5º	RS	54	CFPA	19	
5º	RS	51	CFPA	185	
5º	RS	10	CFPA	10	
5º	RS	28	CFPA	73	
5º	RS	31	CFPA	263	
5º	RS	57	CFPA	12	
5º	RS	32	CFPA	13	
5º	RS	33	CFPA	38	
5º	RS	7	CFPA	85	
5º	RS	50	CFPA	2	
5º	RS	44	CFPA	4	
5º	RS	59	CFPA	7	
5º	RS	34	CFPA	10	
5º	RS	105	CFPA	18	
5º	RS	103	CFPA	1	
5º	RS	35	CFPA	7215	
5º	RS	60	CFPA	3	
5º	RS	108	CFPA	4968	
5º	RS	37	CFPA	31	
5º	RS	99	CFPA	944	
5º	RS	13	CFPA	5	
5º	RS	63	CFPA	2	
5º	RS	38	CFPA	25	
5º	RS	4	CFPA	4	
5º	RS	18	CFPA	1	
5º	RS	1	CFPA	4	
5º	RS	6	CFPA	1	
5º	RS	41	CFPA	95	
5º	RS	12	CFPA	1	
5º	RS	42	CFPA	1	
5º	RS	2	CFPA	3	
5º	RS	46	CFPA	2	
5º	RS	106	CFPA	2	
5º	RS	43	CFPA	1130	
4º	PA	23	CFS	1	
4º	PA	52	CFS	4	
4º	PA	102	CFS	1	
4º	PA	48	CFS	475	
4º	PA	25	CFS	62	
4º	PA	53	CFS	7	
4º	PA	26	CFS	38	
4º	PA	51	CFS	128	
4º	PA	10	CFS	422	
4º	PA	56	CFS	1	
4º	PA	30	CFS	2	
4º	PA	31	CFS	49	
4º	PA	57	CFS	132	
4º	PA	32	CFS	1	
4º	PA	33	CFS	86	
4º	PA	7	CFS	3	
4º	PA	59	CFS	80	
4º	PA	105	CFS	3	
4º	PA	35	CFS	2119	
4º	PA	108	CFS	434	
4º	PA	37	CFS	15	
4º	PA	61	CFS	1	
4º	PA	99	CFS	95	
4º	PA	13	CFS	1274	
4º	PA	63	CFS	2204	
4º	PA	20	CFS	5	
4º	PA	38	CFS	2956	
4º	PA	4	CFS	23	
4º	PA	41	CFS	55	
4º	PA	9	CFS	3	
4º	PA	12	CFS	21	
4º	PA	2	CFS	16	
4º	PA	106	CFS	1	
4º	PA	43	CFS	2	
9º	AM	23	CFT	1	
9º	AM	109	CFT	1	
9º	AM	48	CFT	30	
9º	AM	25	CFT	1	
9º	AM	53	CFT	8	
9º	AM	26	CFT	572	
9º	AM	55	CFT	4	
9º	AM	51	CFT	1215	
9º	AM	10	CFT	49	
9º	AM	31	CFT	4	
9º	AM	57	CFT	17	
9º	AM	33	CFT	112	
9º	AM	59	CFT	5	
9º	AM	103	CFT	1	
9º	AM	35	CFT	457	
9º	AM	108	CFT	1	
9º	AM	99	CFT	127	
9º	AM	13	CFT	8	
9º	AM	63	CFT	8	
9º	AM	38	CFT	18	
9º	AM	41	CFT	26	
9º	AM	2	CFT	1	
7º	TO	48	CFAT	28	
7º	TO	25	CFAT	5	
7º	TO	26	CFAT	518	
7º	TO	51	CFAT	2935	
7º	TO	21	CFAT	1	
7º	TO	10	CFAT	2	
7º	TO	28	CFAT	648	
7º	TO	31	CFAT	17	
7º	TO	57	CFAT	10	
7º	TO	32	CFAT	5	
7º	TO	33	CFAT	22	
7º	TO	44	CFAT	1	
7º	TO	34	CFAT	7	
7º	TO	105	CFAT	44	
7º	TO	35	CFAT	2024	
7º	TO	108	CFAT	890	
7º	TO	37	CFAT	46	
7º	TO	99	CFAT	14	
7º	TO	13	CFAT	3	
7º	TO	63	CFAT	2	
7º	TO	38	CFAT	1	
7º	TO	41	CFAT	3	
7º	TO	46	CFAT	1	
7º	TO	43	CFAT	6	
6º	MS	107	CFPN	8	
6º	MS	48	CFPN	33	
6º	MS	25	CFPN	28	
6º	MS	26	CFPN	7602	
6º	MS	51	CFPN	2	
6º	MS	10	CFPN	2	
6º	MS	28	CFPN	70	
6º	MS	31	CFPN	31	
6º	MS	57	CFPN	24	
6º	MS	32	CFPN	1	
6º	MS	33	CFPN	34	
6º	MS	105	CFPN	2	
6º	MS	103	CFPN	2	
6º	MS	35	CFPN	1519	
6º	MS	108	CFPN	391	
6º	MS	37	CFPN	1	
6º	MS	99	CFPN	3223	
6º	MS	13	CFPN	49	
6º	MS	38	CFPN	1	
6º	MS	1	CFPN	1	
6º	MS	41	CFPN	26	
6º	MS	12	CFPN	1	
6º	MS	43	CFPN	5	
8º	PR	48	CFRP	60	
8º	PR	25	CFRP	1	
8º	PR	53	CFRP	8	
8º	PR	26	CFRP	1312	
8º	PR	51	CFRP	73	
8º	PR	28	CFRP	28	
8º	PR	31	CFRP	148	
8º	PR	57	CFRP	8	
8º	PR	32	CFRP	1	
8º	PR	33	CFRP	64	
8º	PR	7	CFRP	2	
8º	PR	34	CFRP	1	
8º	PR	105	CFRP	14	
8º	PR	103	CFRP	6	
8º	PR	35	CFRP	11913	
8º	PR	60	CFRP	2	
8º	PR	108	CFRP	1526	
8º	PR	37	CFRP	4	
8º	PR	99	CFRP	511	
8º	PR	41	CFRP	40	
8º	PR	43	CFRP	27	
2º	MG	48	CFSF	81	
2º	MG	25	CFSF	12	
2º	MG	53	CFSF	3	
2º	MG	26	CFSF	6511	
2º	MG	55	CFSF	1	
2º	MG	51	CFSF	6803	
2º	MG	28	CFSF	526	
2º	MG	31	CFSF	557	
2º	MG	57	CFSF	11	
2º	MG	32	CFSF	2	
2º	MG	33	CFSF	6	
2º	MG	44	CFSF	2	
2º	MG	34	CFSF	5	
2º	MG	105	CFSF	7	
2º	MG	35	CFSF	5028	
2º	MG	100	CFSF	2	
2º	MG	108	CFSF	1426	
2º	MG	37	CFSF	5	
2º	MG	99	CFSF	1251	
2º	MG	13	CFSF	4	
2º	MG	38	CFSF	5	
2º	MG	39	CFSF	1	
2º	MG	41	CFSF	32	
2º	MG	12	CFSF	1	
2º	MG	43	CFSF	44	
8º	SP	23	CFTP	1	
8º	SP	48	CFTP	106	
8º	SP	25	CFTP	92	
8º	SP	53	CFTP	102	
8º	SP	26	CFTP	46423	
8º	SP	27	CFTP	1	
8º	SP	55	CFTP	3	
8º	SP	51	CFTP	139	
8º	SP	10	CFTP	3	
8º	SP	28	CFTP	271	
8º	SP	30	CFTP	2	
8º	SP	31	CFTP	446	
8º	SP	57	CFTP	134	
8º	SP	32	CFTP	2	
8º	SP	33	CFTP	335	
8º	SP	44	CFTP	14	
8º	SP	59	CFTP	5	
8º	SP	34	CFTP	29	
8º	SP	105	CFTP	54	
8º	SP	103	CFTP	1	
8º	SP	35	CFTP	10602	
8º	SP	60	CFTP	1	
8º	SP	108	CFTP	7650	
8º	SP	37	CFTP	105	
8º	SP	62	CFTP	1	
8º	SP	99	CFTP	9157	
8º	SP	13	CFTP	27	
8º	SP	38	CFTP	25	
8º	SP	39	CFTP	5	
8º	SP	1	CFTP	1	
8º	SP	41	CFTP	74	
8º	SP	12	CFTP	2	
8º	SP	42	CFTP	2	
8º	SP	2	CFTP	2	
8º	SP	46	CFTP	2	
8º	SP	43	CFTP	171	
1º	RJ	48	DelAReis	30	
1º	RJ	25	DelAReis	111	
1º	RJ	26	DelAReis	2372	
1º	RJ	27	DelAReis	1	
1º	RJ	51	DelAReis	8	
1º	RJ	28	DelAReis	7	
1º	RJ	30	DelAReis	4	
1º	RJ	31	DelAReis	52	
1º	RJ	32	DelAReis	120	
1º	RJ	24	DelAReis	3	
1º	RJ	33	DelAReis	42	
1º	RJ	59	DelAReis	19	
1º	RJ	34	DelAReis	12	
1º	RJ	105	DelAReis	17	
1º	RJ	35	DelAReis	5700	
1º	RJ	47	DelAReis	1	
1º	RJ	108	DelAReis	1335	
1º	RJ	37	DelAReis	25	
1º	RJ	99	DelAReis	1419	
1º	RJ	13	DelAReis	2	
1º	RJ	63	DelAReis	2	
1º	RJ	38	DelAReis	65	
1º	RJ	39	DelAReis	1	
1º	RJ	4	DelAReis	11	
1º	RJ	18	DelAReis	1	
1º	RJ	1	DelAReis	2	
1º	RJ	17	DelAReis	8	
1º	RJ	40	DelAReis	1	
1º	RJ	41	DelAReis	10	
1º	RJ	42	DelAReis	60	
1º	RJ	2	DelAReis	1	
1º	RJ	46	DelAReis	338	
1º	RJ	43	DelAReis	602	
1º	RJ	109	DELCFRIO	3	
1º	RJ	52	DELCFRIO	9	
1º	RJ	48	DELCFRIO	16	
1º	RJ	25	DELCFRIO	65	
1º	RJ	53	DELCFRIO	2	
1º	RJ	26	DELCFRIO	1693	
1º	RJ	55	DELCFRIO	4	
1º	RJ	54	DELCFRIO	2	
1º	RJ	51	DELCFRIO	16	
1º	RJ	10	DELCFRIO	1	
1º	RJ	28	DELCFRIO	5	
1º	RJ	31	DELCFRIO	18	
1º	RJ	32	DELCFRIO	89	
1º	RJ	33	DELCFRIO	5	
1º	RJ	59	DELCFRIO	3	
1º	RJ	34	DELCFRIO	58	
1º	RJ	105	DELCFRIO	6	
1º	RJ	35	DELCFRIO	2773	
1º	RJ	60	DELCFRIO	1	
1º	RJ	108	DELCFRIO	1402	
1º	RJ	37	DELCFRIO	17	
1º	RJ	99	DELCFRIO	1083	
1º	RJ	13	DELCFRIO	54	
1º	RJ	38	DELCFRIO	187	
1º	RJ	39	DELCFRIO	1	
1º	RJ	41	DELCFRIO	4	
1º	RJ	42	DELCFRIO	23	
1º	RJ	46	DELCFRIO	115	
1º	RJ	43	DELCFRIO	227	
2º	BA	107	DelIlheus	2	
2º	BA	48	DelIlheus	26	
2º	BA	25	DelIlheus	9	
2º	BA	26	DelIlheus	238	
2º	BA	55	DelIlheus	2	
2º	BA	51	DelIlheus	390	
2º	BA	28	DelIlheus	4	
2º	BA	31	DelIlheus	2	
2º	BA	57	DelIlheus	5	
2º	BA	32	DelIlheus	6	
2º	BA	33	DelIlheus	2	
2º	BA	44	DelIlheus	1	
2º	BA	34	DelIlheus	39	
2º	BA	105	DelIlheus	4	
2º	BA	103	DelIlheus	1	
2º	BA	35	DelIlheus	1154	
2º	BA	108	DelIlheus	390	
2º	BA	37	DelIlheus	4	
2º	BA	99	DelIlheus	78	
2º	BA	13	DelIlheus	5	
2º	BA	38	DelIlheus	355	
2º	BA	39	DelIlheus	1	
2º	BA	41	DelIlheus	1	
2º	BA	42	DelIlheus	159	
2º	BA	46	DelIlheus	5	
2º	BA	43	DelIlheus	25	
1º	RJ	52	DelItacuruça	1	
1º	RJ	48	DelItacuruça	7	
1º	RJ	25	DelItacuruça	14	
1º	RJ	53	DelItacuruça	22	
1º	RJ	26	DelItacuruça	4610	
1º	RJ	27	DelItacuruça	1	
1º	RJ	55	DelItacuruça	7	
1º	RJ	54	DelItacuruça	14	
1º	RJ	51	DelItacuruça	93	
1º	RJ	28	DelItacuruça	23	
1º	RJ	31	DelItacuruça	22	
1º	RJ	57	DelItacuruça	6	
1º	RJ	32	DelItacuruça	52	
1º	RJ	33	DelItacuruça	149	
1º	RJ	59	DelItacuruça	2	
1º	RJ	34	DelItacuruça	16	
1º	RJ	105	DelItacuruça	3	
1º	RJ	35	DelItacuruça	4919	
1º	RJ	60	DelItacuruça	1	
1º	RJ	108	DelItacuruça	943	
1º	RJ	37	DelItacuruça	5	
1º	RJ	99	DelItacuruça	2727	
1º	RJ	13	DelItacuruça	1	
1º	RJ	38	DelItacuruça	215	
1º	RJ	4	DelItacuruça	1	
1º	RJ	41	DelItacuruça	17	
1º	RJ	12	DelItacuruça	1	
1º	RJ	42	DelItacuruça	29	
1º	RJ	46	DelItacuruça	163	
1º	RJ	43	DelItacuruça	175	
5º	SC	23	DelItajai	1	
5º	SC	107	DelItajai	3	
5º	SC	52	DelItajai	2	
5º	SC	48	DelItajai	36	
5º	SC	25	DelItajai	17	
5º	SC	53	DelItajai	6	
5º	SC	26	DelItajai	5186	
5º	SC	27	DelItajai	2	
5º	SC	55	DelItajai	7	
5º	SC	54	DelItajai	1	
5º	SC	51	DelItajai	191	
5º	SC	10	DelItajai	5	
5º	SC	28	DelItajai	262	
5º	SC	30	DelItajai	1	
5º	SC	31	DelItajai	90	
5º	SC	57	DelItajai	6	
5º	SC	32	DelItajai	21	
5º	SC	33	DelItajai	29	
5º	SC	59	DelItajai	14	
5º	SC	34	DelItajai	7	
5º	SC	105	DelItajai	33	
5º	SC	35	DelItajai	6327	
5º	SC	108	DelItajai	4604	
5º	SC	37	DelItajai	13	
5º	SC	62	DelItajai	2	
5º	SC	99	DelItajai	1902	
5º	SC	13	DelItajai	24	
5º	SC	38	DelItajai	1153	
5º	SC	39	DelItajai	1	
5º	SC	8	DelItajai	2	
5º	SC	41	DelItajai	34	
5º	SC	12	DelItajai	5	
5º	SC	42	DelItajai	4	
5º	SC	45	DelItajai	58	
5º	SC	2	DelItajai	1	
5º	SC	46	DelItajai	22	
5º	SC	43	DelItajai	352	
5º	SC	48	DelLaguna	25	
5º	SC	25	DelLaguna	16	
5º	SC	53	DelLaguna	16	
5º	SC	26	DelLaguna	2196	
5º	SC	27	DelLaguna	1	
5º	SC	55	DelLaguna	3	
5º	SC	54	DelLaguna	260	
5º	SC	51	DelLaguna	1556	
5º	SC	28	DelLaguna	9	
5º	SC	31	DelLaguna	48	
5º	SC	57	DelLaguna	3	
5º	SC	32	DelLaguna	2	
5º	SC	24	DelLaguna	1	
5º	SC	33	DelLaguna	4	
5º	SC	44	DelLaguna	1	
5º	SC	59	DelLaguna	3	
5º	SC	34	DelLaguna	4	
5º	SC	105	DelLaguna	1	
5º	SC	35	DelLaguna	834	
5º	SC	108	DelLaguna	899	
5º	SC	99	DelLaguna	4752	
5º	SC	13	DelLaguna	4	
5º	SC	38	DelLaguna	73	
5º	SC	41	DelLaguna	10	
5º	SC	12	DelLaguna	1	
5º	SC	46	DelLaguna	7	
5º	SC	43	DelLaguna	33	
1º	RJ	48	DelMacae	59	
1º	RJ	26	DelMacae	566	
1º	RJ	55	DelMacae	3	
1º	RJ	54	DelMacae	1	
1º	RJ	51	DelMacae	881	
1º	RJ	10	DelMacae	4	
1º	RJ	28	DelMacae	18	
1º	RJ	31	DelMacae	24	
1º	RJ	32	DelMacae	7	
1º	RJ	58	DelMacae	1	
1º	RJ	33	DelMacae	3	
1º	RJ	59	DelMacae	2	
1º	RJ	34	DelMacae	3	
1º	RJ	35	DelMacae	1378	
1º	RJ	108	DelMacae	348	
1º	RJ	99	DelMacae	263	
1º	RJ	13	DelMacae	26	
1º	RJ	63	DelMacae	8	
1º	RJ	38	DelMacae	1198	
1º	RJ	1	DelMacae	2	
1º	RJ	17	DelMacae	2	
1º	RJ	41	DelMacae	4	
1º	RJ	42	DelMacae	1	
1º	RJ	45	DelMacae	7	
1º	RJ	46	DelMacae	340	
1º	RJ	43	DelMacae	41	
2º	BA	107	DELPSEGURO	1	
2º	BA	52	DELPSEGURO	1	
2º	BA	48	DELPSEGURO	17	
2º	BA	25	DELPSEGURO	11	
2º	BA	26	DELPSEGURO	906	
2º	BA	51	DELPSEGURO	96	
2º	BA	28	DELPSEGURO	2	
2º	BA	31	DELPSEGURO	7	
2º	BA	32	DELPSEGURO	60	
2º	BA	59	DELPSEGURO	2	
2º	BA	34	DELPSEGURO	2	
2º	BA	105	DELPSEGURO	1	
2º	BA	35	DELPSEGURO	465	
2º	BA	60	DELPSEGURO	1	
2º	BA	108	DELPSEGURO	66	
2º	BA	37	DELPSEGURO	17	
2º	BA	99	DELPSEGURO	70	
2º	BA	13	DELPSEGURO	7	
2º	BA	63	DELPSEGURO	4	
2º	BA	38	DELPSEGURO	1608	
2º	BA	41	DELPSEGURO	18	
2º	BA	12	DELPSEGURO	1	
2º	BA	42	DELPSEGURO	19	
2º	BA	46	DELPSEGURO	14	
2º	BA	43	DELPSEGURO	28	
5º	SC	107	DelSFSul	1	
5º	SC	52	DelSFSul	2	
5º	SC	48	DelSFSul	23	
5º	SC	25	DelSFSul	11	
5º	SC	53	DelSFSul	1	
5º	SC	26	DelSFSul	10901	
5º	SC	27	DelSFSul	3	
5º	SC	55	DelSFSul	5	
5º	SC	54	DelSFSul	1	
5º	SC	51	DelSFSul	78	
5º	SC	10	DelSFSul	4	
5º	SC	28	DelSFSul	49	
5º	SC	31	DelSFSul	118	
5º	SC	57	DelSFSul	3	
5º	SC	32	DelSFSul	10	
5º	SC	33	DelSFSul	16	
5º	SC	7	DelSFSul	1	
5º	SC	44	DelSFSul	6	
5º	SC	59	DelSFSul	12	
5º	SC	34	DelSFSul	3	
5º	SC	105	DelSFSul	3	
5º	SC	35	DelSFSul	3363	
5º	SC	108	DelSFSul	1101	
5º	SC	37	DelSFSul	6	
5º	SC	62	DelSFSul	4	
5º	SC	99	DelSFSul	5235	
5º	SC	13	DelSFSul	23	
5º	SC	38	DelSFSul	41	
5º	SC	1	DelSFSul	1	
5º	SC	40	DelSFSul	1	
5º	SC	41	DelSFSul	15	
5º	SC	42	DelSFSul	2	
5º	SC	45	DelSFSul	5	
5º	SC	46	DelSFSul	29	
5º	SC	43	DelSFSul	338	
8º	SP	52	DelSSebastiao	2	
8º	SP	102	DelSSebastiao	1	
8º	SP	48	DelSSebastiao	70	
8º	SP	25	DelSSebastiao	6	
8º	SP	53	DelSSebastiao	4	
8º	SP	26	DelSSebastiao	7326	
8º	SP	27	DelSSebastiao	1	
8º	SP	55	DelSSebastiao	1	
8º	SP	54	DelSSebastiao	1	
8º	SP	51	DelSSebastiao	354	
8º	SP	10	DelSSebastiao	5	
8º	SP	28	DelSSebastiao	189	
